Harvesting data (19 July 2021),,,,,,,,,,,,,,,,
,,,,,Biomass fresh wt (seeds + above ground biomass),Dry weight (with bag) gram,Biomass Dry weight (without bag) gram,Dry Biomass  Yield (Above ground) (including seeds)   (kg/ha),Roots Fresh weight (gram),Roots Dry weight (with bag) (g),Roots Dry weight (without bag) (g),Uncleaned seed weight (with bags) 27 July 2021,Uncleaned seed weight (without bags) 27 July 2021,Cleaned seed weight (without bags) (grams/1.828 m2) 11 Aug,Seed yield (kg/ha) ,
,,,,,,,,,,,,,,,,
plot no.,Variety,N rates (lb/ac),Rep,No. Plants,,,,,,,,,,,,
101,Bialobrzeskie,50,1,23,248,316,80,437.64,36,44,20,52,38,16,87.53,
102,X-59,200,1,12,206,360,124,678.34,18,34,10,36,22,32,175.05,
103,Bialobrzeskie,150,1,19,560,488,252,1378.56,64,56,32,16,2,48,262.58,
104,X-59,100,1,12,108,352,116,634.57,24,42,18,30,16,38,207.88,
105,Bialobrzeskie,200,1,16,852,579,343,1876.37,98,70,46,38,24,102,557.99,
106,X-59,0,1,19,38,292,56,306.35,2.6,32,8,64,50,7,38.29,
107,X-59,250,1,11,98,364,128,700.22,14,36,12,54,40,14,76.59,
108,X-59,50,1,15,188,382,146,798.69,24,38,14,36,22,30,164.11,
109,Bialobrzeskie,250,1,9,190,440,204,1115.97,46,44,20,26,12,38,207.88,
110,Bialobrzeskie,100,1,23,908,398,162,886.21,52,52,28,30,16,40,218.82,
111,X-59,150,1,12,240,406,170,929.98,20,40,16,16,2,47,257.11,
112,Bialobrzeskie,0,1,20,162,346,110,601.75,26,42,18,56,42,14,76.59,
201,Bialobrzeskie,150,2,18,452,460,224,1225.38,44,50,26,72,58,50,273.52,
202,Bialobrzeskie,50,2,18,754,360,124,678.34,46,50,26,32,18,18,98.47,
203,X-59,150,2,13,312,396,160,875.27,26,42,18,66,52,46,251.64,
204,X-59,0,2,19,76,318,82,448.58,5.5,30,6,26,12,12,65.65,
205,X-59,50,2,19,274,410,174,951.86,24,44,20,72,58,50,273.52,
206,Bialobrzeskie,200,2,3,156,330,94,514.22,30,44,20,18,4,5,27.35,
207,X-59,100,2,12,374,384,148,809.63,18,32,8,52,38,36,196.94,
208,Bialobrzeskie,100,2,11,308,382,146,798.69,30,44,20,58,44,40,218.82,
209,Bialobrzeskie,0,2,13,43,262,26,142.23,8,36,12,18,4,3,16.41,
210,Bialobrzeskie,250,2,10,288,276,40,218.82,38,48,24,42,28,38,207.88,
211,X-59,250,2,11,500,498,262,1433.26,28,46,22,126,112,102,557.99,
212,X-59,200,2,22,694,538,302,1652.08,52,54,30,136,122,108,590.81,
301,X-59,0,3,14,34,264,28,153.17,30,30,6,22,8,8,43.76,
302,Bialobrzeskie,200,3,13,268,374,138,754.92,44,44,20,38,24,19,103.94,
303,X-59,150,3,14,314,420,184,1006.56,44,44,20,66,52,44,240.70,
304,Bialobrzeskie,0,3,28,82,292,56,306.35,32,32,8,28,14,10,54.70,
305,Bialobrzeskie,100,3,16,482,501,265,1449.67,56,56,32,72,58,54,295.40,
306,X-59,200,3,7,156,348,112,612.69,38,38,14,44,30,26,142.23,
307,Bialobrzeskie,150,3,5,58,284,48,262.58,34,34,10,26,12,12,65.65,
308,X-59,100,3,18,240,388,152,831.51,38,38,14,72,58,42,229.76,
309,X-59,250,3,5,34,288,52,284.46,30,30,6,34,20,14,76.59,
310,Bialobrzeskie,250,3,15,500,486,250,1367.61,56,56,32,100,86,77,421.23,
311,X-59,50,3,10,182,366,130,711.16,40,40,16,64,50,44,240.70,
312,Bialobrzeskie,50,3,17,314,426,190,1039.39,46,46,22,54,40,34,186.00,
401,Bialobrzeskie,50,4,8,98,288,52,284.46,6,34,10,30,16,12,65.65,
402,Bialobrzeskie,100,4,22,316,422,186,1017.51,28,46,22,52,38,34,186.00,
403,X-59,0,4,12,12,240,4,21.88,1,32,8,16,2,2,10.94,
404,X-59,200,4,14,114,316,80,437.64,6,36,12,40,26,20,109.41,
405,X-59,250,4,8,112,318,82,448.58,56,38,14,50,36,29,158.64,
406,Bialobrzeskie,150,4,22,324,438,202,1105.03,26,40,16,64,50,42,229.76,
407,X-59,150,4,16,372,470,234,1280.09,26,46,22,124,110,94,514.22,
408,Bialobrzeskie,0,4,17,90,306,70,382.93,6,34,10,32,18,12,65.65,
409,X-59,50,4,9,66,298,62,339.17,4,28,4,36,22,16,87.53,
410,X-59,100,4,24,330,452,216,1181.62,18,40,16,86,72,54,295.40,
411,Bialobrzeskie,200,4,7,55,290,54,295.4,8,36,12,24,10,4,21.88,
412,Bialobrzeskie,250,4,13,518,456,220,1203.5,58,56,32,46,32,22,120.35,
,,,,,,,,,,,,,,,,
