plot_no,variety,trt,block,no_of_plants ,plant_ht,biomass_yield,aboveground_residue_wt,root_wt,grain_yield ,grain_yield_per_plant,S,K,P,N
101,Bialobrzeskie,56,1,23,91.44,437.64,350.11,109.2896175,87.53,0.695652174,0.217977528,1.976379526,0.609837703,1.885813149
102,X-59,224,1,12,40.89,678.34,503.29,54.64480874,175.05,2.666666667,0.173426573,2.708241758,0.61988012,1.874383021
103,Bialobrzeskie,168,1,19,216.41,1378.56,1115.98,174.863388,262.58,2.526315789,0.153035224,2.356532601,0.636622533,1.904082636
104,X-59,112,1,12,42.42,634.57,426.69,98.36065574,207.88,3.166666667,0.21627965,2.892534332,0.788514357,2.074850299
105,Bialobrzeskie,224,1,16,103.89,1876.37,1318.38,251.3661202,557.99,6.375,0.17423221,2.16329588,0.522696629,1.73960396
106,X-59,0,1,19,9.14,306.35,268.06,43.71584699,38.29,0.368421053,0.183312516,2.216937297,0.6897327,1.502615992
107,X-59,280,1,11,37.85,700.22,623.63,65.57377049,76.59,1.272727273,0.149325337,2.450824588,0.675762119,1.870839543
108,X-59,56,1,15,39.62,798.69,634.58,76.50273224,164.11,2,0.2115,2.4927,1.07355,1.494965278
109,Bialobrzeskie,280,1,9,96.77,1115.97,908.09,109.2896175,207.88,4.222222222,0.194251437,2.12271932,0.525268683,1.918905473
110,Bialobrzeskie,112,1,23,79.76,886.21,667.39,153.0054645,218.82,1.739130435,0.213882647,2.617827715,0.814681648,2.102442672
111,X-59,168,1,12,46.23,929.98,672.87,87.43169399,257.11,3.916666667,0.182208896,2.766316842,0.717941029,2.173555777
112,Bialobrzeskie,0,1,20,50.29,601.75,525.16,98.36065574,76.59,0.7,0.251237191,1.808447888,0.858385404,2.111138737
201,Bialobrzeskie,168,2,18,87.38,1225.38,951.86,142.0765027,273.52,2.777777778,0.2259,2.2553,0.9669,2.27761194
202,Bialobrzeskie,56,2,18,58.17,678.34,579.87,142.0765027,98.47,1,0.2023,1.93115,0.979,2.15677547
203,X-59,168,2,13,43.69,875.27,623.63,98.36065574,251.64,3.538461538,0.184975124,2.569154229,0.994129353,2.638007929
204,X-59,0,2,19,21.34,448.58,382.93,32.78688525,65.65,0.631578947,0.227809619,1.953351607,0.920608024,2.223303393
205,X-59,56,2,19,29.72,951.86,678.34,109.2896175,273.52,2.631578947,0.212384979,2.66739617,0.880726188,2.203832753
206,Bialobrzeskie,224,2,3,87.21,514.22,486.87,109.2896175,27.35,1.666666667,0.160647572,2.120896638,0.953175592,2.57922272
207,X-59,112,2,12,41.15,809.63,612.69,43.71584699,196.94,3,0.148951049,2.248951049,0.805794206,1.902743142
208,Bialobrzeskie,112,2,11,71.37,798.69,579.87,109.2896175,218.82,3.636363636,0.177694611,1.917265469,1.001946108,2.441497273
