,,,2021_05_25,,,,,,,,,2021_06_09,,,,,,,,,2021_06_23,,,,,,,,,2021_07_08,,,,,,,,,2021_07_19,,,,,,,,,,,,
,,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,,,,
T1,R1,V1N0,0.08434186,0.16354886,48.25167,2.8203955,0.091069765,21.838608,25.834211,18.571486,,0.24815227,0.57892495,52.599655,1.5566363,0.96102273,21.260612,35.358387,9.422044,,0.21722181,0.6523472,53.69571,1.4440181,0.75799996,23.86274,37.17664,7.8047824,,0.14812084,0.5641646,42.96973,1.5875834,0.3500625,25.959251,35.02863,9.746978,,0.15330611,0.47426525,47.5086,1.7993062,0.359347,24.089802,32.97155,11.727328,,,,,
T2,R1,V1N1,0.060047753,0.1703388,22.950354,2.7748957,0.055432837,23.040346,25.986435,18.421986,,0.15834762,0.36477622,57.83838,2.0094762,0.32271427,22.075478,30.37786,14.139193,,0.32126546,0.8268096,46.112873,1.1913694,1.8567622,21.517809,41.87188,3.961845,,0.21189038,0.75459427,46.190266,1.2845579,0.7576729,25.872591,39.76646,5.5524807,,0.1589045,0.54573435,49.054466,1.6154774,0.38420895,25.11819,34.578293,10.152955,,,,,
T3,R1,V1N2,0.072942846,0.19584288,24.672962,2.643786,0.078017846,22.940716,26.560335,17.859896,,0.16035296,0.4172353,45.441765,1.9245882,0.39429408,22.832531,31.597702,12.983588,,0.25700736,0.67940587,49.469498,1.443147,1.2222795,22.328176,38.189667,7.208706,,0.14130892,0.5595036,48.56781,1.6289823,0.32628575,26.25227,34.9704,9.849715,,0.11685455,0.36391822,57.466473,2.0706544,0.19683637,23.984295,30.380909,14.1579075,,,,,
T4,R1,V1N3,0.07291384,0.17664154,25.963417,2.7401376,0.074030764,22.575296,26.1282,18.283216,,0.12146429,0.29156426,50.872307,2.3022144,0.20076188,22.44595,28.727243,15.751738,,0.27887037,0.7053672,52.86662,1.426125,1.4807187,21.598097,38.811348,6.63689,,0.16430975,0.59174645,52.835896,1.5474634,0.43334147,25.612268,35.699463,9.139657,,0.13355435,0.3905141,53.96484,2.0561407,0.27136838,23.58874,31.00432,13.572088,,,,,
T5,R1,V1N4,0.06077287,0.16134743,24.051886,2.8248644,0.05486441,22.831274,25.784374,18.620169,,0.17330909,0.40576366,57.278725,1.92,0.42209092,22.03,31.322815,13.235999,,0.30981696,0.784556,45.351406,1.2532369,1.7260169,21.436031,40.79491,4.892576,,0.15885782,0.6303219,49.06806,1.5171251,0.4203593,26.564123,36.70599,8.289737,,0.13003074,0.44057074,53.71101,1.9040611,0.2622615,24.668478,32.16551,12.469614,,,,,
T6,R1,V1N5,0.058835823,0.16165672,21.298147,2.8238804,0.05285075,22.929556,25.791435,18.613266,,0.21104582,0.48898754,54.0795,1.8256668,0.80029154,21.443712,33.336086,11.402916,,0.29898196,0.78412783,45.435734,1.2548358,1.61141,21.954723,40.80119,4.901918,,0.18005246,0.60687876,55.163628,1.5178849,0.5082459,25.088614,36.06587,8.806394,,0.12479,0.32402715,68.24752,2.179729,0.21535712,22.886261,29.462605,15.036614,,,,,
T7,R1,V2N0,0.08434186,0.16354886,48.25167,2.8203955,0.091069765,21.838608,25.834211,18.571486,,0.24815227,0.57892495,52.599655,1.5566363,0.96102273,21.260612,35.358387,9.422044,,0.21722181,0.6523472,53.69571,1.4440181,0.75799996,23.86274,37.17664,7.8047824,,0.14812084,0.5641646,42.96973,1.5875834,0.3500625,25.959251,35.02863,9.746978,,0.15330611,0.47426525,47.5086,1.7993062,0.359347,24.089802,32.97155,11.727328,,,,,
T8,R1,V2N1,0.080304176,0.17275976,25.2359,2.7661943,0.085263886,22.165222,26.041264,18.368555,,0.19009401,0.485354,44.476723,1.7366798,0.5187,22.530062,33.1554,11.48312,,0.22547619,0.5920319,48.57852,1.5548254,0.80930156,22.4899,35.754917,9.133334,,0.13966797,0.4670199,42.58666,1.7971199,0.29373997,24.6864,32.749325,11.88674,,0.1107909,0.2689455,44.41935,2.3467271,0.16092725,22.556,28.209862,16.250017,,,,,
T9,R1,V2N2,0.06319334,0.18300335,21.989613,2.7098336,0.061866667,23.141731,26.271318,18.1431,,0.097061105,0.19269629,61.100975,2.693259,0.1193889,21.7955,26.490816,17.929478,,0.25578868,0.63735324,55.124832,1.4705967,1.0755968,21.734144,36.81829,8.135176,,0.1759767,0.64493257,34.240208,1.4465582,0.49048826,25.89221,36.96144,7.9680934,,0.12922908,0.33631098,48.310276,2.111182,0.22056368,22.911963,29.73596,14.766254,,,,,
T10,R1,V2N3,0.08288761,0.17915927,45.9685,2.733531,0.09201028,22.181654,26.185154,18.22764,,0.12848826,0.35550982,53.152996,2.054706,0.2432353,23.310532,30.172606,14.343117,,0.30253753,0.78049535,51.05137,1.255125,1.6113905,21.686815,40.57878,4.9820757,,0.22976604,0.79367673,36.77865,1.2324644,0.8921965,25.607716,40.851673,4.691678,,0.18371017,0.60197455,48.685318,1.5490849,0.5313729,24.70234,35.942207,8.914238,,,,,
