,,,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19
Treatment_no.,Rep,Factors,NDRE,NDRE,NDRE,NDRE,NDRE,NDVI,NDVI,NDVI,NDVI,NDVI,DIST,DIST,DIST,DIST,DIST,LAI_VI,LAI_VI,LAI_VI,LAI_VI,LAI_VI,CCC_VI,CCC_VI,CCC_VI,CCC_VI,CCC_VI,RE,RE,RE,RE,RE,NIR,NIR,NIR,NIR,NIR,R,R,R,R,R
T1,R1,V1N0,0.08434186,0.24815227,0.21722181,0.14812084,0.15330611,0.16354886,0.57892495,0.6523472,0.5641646,0.47426525,48.25167,52.599655,53.69571,42.96973,47.5086,2.8203955,1.5566363,1.4440181,1.5875834,1.7993062,0.091069765,0.96102273,0.75799996,0.3500625,0.359347,21.838608,21.260612,23.86274,25.959251,24.089802,25.834211,35.358387,37.17664,35.02863,32.97155,18.571486,9.422044,7.8047824,9.746978,11.727328
T2,R1,V1N1,0.060047753,0.15834762,0.32126546,0.21189038,0.1589045,0.1703388,0.36477622,0.8268096,0.75459427,0.54573435,22.950354,57.83838,46.112873,46.190266,49.054466,2.7748957,2.0094762,1.1913694,1.2845579,1.6154774,0.055432837,0.32271427,1.8567622,0.7576729,0.38420895,23.040346,22.075478,21.517809,25.872591,25.11819,25.986435,30.37786,41.87188,39.76646,34.578293,18.421986,14.139193,3.961845,5.5524807,10.152955
T3,R1,V1N2,0.072942846,0.16035296,0.25700736,0.14130892,0.11685455,0.19584288,0.4172353,0.67940587,0.5595036,0.36391822,24.672962,45.441765,49.469498,48.56781,57.466473,2.643786,1.9245882,1.443147,1.6289823,2.0706544,0.078017846,0.39429408,1.2222795,0.32628575,0.19683637,22.940716,22.832531,22.328176,26.25227,23.984295,26.560335,31.597702,38.189667,34.9704,30.380909,17.859896,12.983588,7.208706,9.849715,14.1579075
T4,R1,V1N3,0.07291384,0.12146429,0.27887037,0.16430975,0.13355435,0.17664154,0.29156426,0.7053672,0.59174645,0.3905141,25.963417,50.872307,52.86662,52.835896,53.96484,2.7401376,2.3022144,1.426125,1.5474634,2.0561407,0.074030764,0.20076188,1.4807187,0.43334147,0.27136838,22.575296,22.44595,21.598097,25.612268,23.58874,26.1282,28.727243,38.811348,35.699463,31.00432,18.283216,15.751738,6.63689,9.139657,13.572088
T5,R1,V1N4,0.06077287,0.17330909,0.30981696,0.15885782,0.13003074,0.16134743,0.40576366,0.784556,0.6303219,0.44057074,24.051886,57.278725,45.351406,49.06806,53.71101,2.8248644,1.92,1.2532369,1.5171251,1.9040611,0.05486441,0.42209092,1.7260169,0.4203593,0.2622615,22.831274,22.03,21.436031,26.564123,24.668478,25.784374,31.322815,40.79491,36.70599,32.16551,18.620169,13.235999,4.892576,8.289737,12.469614
T6,R1,V1N5,0.058835823,0.21104582,0.29898196,0.18005246,0.12479,0.16165672,0.48898754,0.78412783,0.60687876,0.32402715,21.298147,54.0795,45.435734,55.163628,68.24752,2.8238804,1.8256668,1.2548358,1.5178849,2.179729,0.05285075,0.80029154,1.61141,0.5082459,0.21535712,22.929556,21.443712,21.954723,25.088614,22.886261,25.791435,33.336086,40.80119,36.06587,29.462605,18.613266,11.402916,4.901918,8.806394,15.036614
T7,R1,V2N0,0.08434186,0.24815227,0.21722181,0.14812084,0.15330611,0.16354886,0.57892495,0.6523472,0.5641646,0.47426525,48.25167,52.599655,53.69571,42.96973,47.5086,2.8203955,1.5566363,1.4440181,1.5875834,1.7993062,0.091069765,0.96102273,0.75799996,0.3500625,0.359347,21.838608,21.260612,23.86274,25.959251,24.089802,25.834211,35.358387,37.17664,35.02863,32.97155,18.571486,9.422044,7.8047824,9.746978,11.727328
T8,R1,V2N1,0.080304176,0.19009401,0.22547619,0.13966797,0.1107909,0.17275976,0.485354,0.5920319,0.4670199,0.2689455,25.2359,44.476723,48.57852,42.58666,44.41935,2.7661943,1.7366798,1.5548254,1.7971199,2.3467271,0.085263886,0.5187,0.80930156,0.29373997,0.16092725,22.165222,22.530062,22.4899,24.6864,22.556,26.041264,33.1554,35.754917,32.749325,28.209862,18.368555,11.48312,9.133334,11.88674,16.250017
T9,R1,V2N2,0.06319334,0.097061105,0.25578868,0.1759767,0.12922908,0.18300335,0.19269629,0.63735324,0.64493257,0.33631098,21.989613,61.100975,55.124832,34.240208,48.310276,2.7098336,2.693259,1.4705967,1.4465582,2.111182,0.061866667,0.1193889,1.0755968,0.49048826,0.22056368,23.141731,21.7955,21.734144,25.89221,22.911963,26.271318,26.490816,36.81829,36.96144,29.73596,18.1431,17.929478,8.135176,7.9680934,14.766254
T10,R1,V2N3,0.08288761,0.12848826,0.30253753,0.22976604,0.18371017,0.17915927,0.35550982,0.78049535,0.79367673,0.60197455,45.9685,53.152996,51.05137,36.77865,48.685318,2.733531,2.054706,1.255125,1.2324644,1.5490849,0.09201028,0.2432353,1.6113905,0.8921965,0.5313729,22.181654,23.310532,21.686815,25.607716,24.70234,26.185154,30.172606,40.57878,40.851673,35.942207,18.22764,14.343117,4.9820757,4.691678,8.914238
T11,R1,V2N4,0.094063744,0.1322158,0.31607097,0.20119105,0.18161932,0.15453497,0.24079734,0.8476518,0.74845713,0.576635,42.520702,58.01521,45.14627,39.949627,44.91692,2.8683372,2.4850788,1.16629,1.2932675,1.5652457,0.105599985,0.22747366,1.7801288,0.6844821,0.5080878,21.228832,21.075184,22.129272,26.35377,24.427664,25.631662,27.578363,42.573982,39.597897,35.302883,18.770128,16.870157,3.5027254,5.6878214,9.472543
T12,R1,V2N5,0.09057692,0.12573045,0.2362415,0.23707113,0.21174754,0.14857116,0.24637397,0.628151,0.7706789,0.5959738,40.249367,68.382385,57.64404,46.629387,47.93104,2.9081535,2.512478,1.4931321,1.2622308,1.5408523,0.098500006,0.22426087,0.9242452,0.94844234,0.70881975,21.264614,21.404785,22.520042,24.825123,23.233967,25.49805,27.715868,36.639324,40.19179,35.776665,18.901344,16.74739,8.33785,5.1983266,9.046605
T1,R2,V1N0,0.091730975,0.11641177,0.13972741,0.16465189,0.13655819,0.15216482,0.36467057,0.31350487,0.44897112,0.3334982,52.311,55.98009,52.43253,45.930283,46.04436,2.8840983,2.1079412,2.208629,1.836404,2.1303272,0.10108449,0.25467646,0.26675808,0.4062885,0.24709089,21.282324,23.95641,21.992405,23.128286,22.504978,25.578465,30.417822,29.223177,32.361115,29.673363,18.822323,14.141441,15.268418,12.284504,14.828145
T2,R2,V1N1,0.10784966,0.30792177,0.2490772,0.18083517,0.18198642,0.1902537,0.6983261,0.71220416,0.64913887,0.5454102,60.280167,45.795475,47.172268,40.736874,53.261322,2.6765559,1.3708696,1.3591284,1.462426,1.6282883,0.1392591,1.9288696,1.0434426,0.54903704,0.50369483,21.27949,20.294176,23.226543,25.693014,23.888863,26.434584,38.35974,38.782616,37.139797,34.583218,17.983263,6.79213,6.4863143,7.875332,10.160289
T3,R2,V1N2,0.07312499,0.22495294,0.2088828,0.22940569,0.16959813,0.16659753,0.55928236,0.561538,0.7042358,0.52858484,48.8973,48.10851,55.42502,45.670982,44.634495,2.879962,1.6307942,1.6240348,1.3792075,1.6741887,0.07802502,0.8158823,0.6944137,1.0484717,0.4340377,22.442411,21.975733,22.782381,24.285547,24.232824,25.903675,34.93971,35.031055,39.014423,34.198177,18.50436,9.854675,9.80507,6.6618295,10.530847
T4,R2,V1N3,0.10135383,0.14840001,0.33809555,0.25660637,0.19053999,0.19133079,0.27284166,0.882994,0.83772075,0.6472599,44.440258,48.7382,39.933716,38.65135,45.064075,2.7234104,2.358771,1.1245823,1.1779046,1.4439468,0.18235898,0.27675,2.1470594,1.1816506,0.5778933,21.595951,20.929773,21.741821,25.038078,25.18231,26.46413,28.301414,43.8975,42.22088,37.005497,17.959614,16.16421,2.7243285,3.7217143,7.9167204
